iter	Passed	Remaining
0	60	60332
1	60	30279
2	60	20260
3	61	15253
4	61	12250
5	61	10242
6	62	8809
7	62	7734
8	62	6895
9	62	6225
10	63	5676
11	63	5221
12	63	4833
13	63	4503
14	64	4216
15	64	3965
16	64	3744
17	65	3553
18	65	3380
19	65	3221
20	66	3077
21	66	2945
22	66	2825
23	66	2717
24	67	2620
25	67	2528
26	67	2442
27	68	2362
28	68	2286
29	68	2216
30	68	2151
31	69	2089
32	69	2031
33	69	1977
34	69	1926
35	70	1877
36	70	1832
37	70	1788
38	70	1747
39	71	1708
40	71	1670
41	71	1635
42	71	1602
43	72	1571
44	72	1540
45	72	1511
46	73	1483
47	73	1455
48	73	1428
49	73	1405
50	74	1381
51	74	1357
52	74	1335
53	74	1313
54	75	1292
55	75	1271
56	75	1252
57	75	1233
58	76	1215
59	76	1197
60	76	1180
61	76	1164
62	77	1148
63	77	1134
64	77	1119
65	78	1104
66	78	1090
67	78	1074
68	78	1061
69	78	1047
70	79	1035
71	79	1022
72	79	1010
73	79	998
74	80	987
75	80	976
76	80	967
77	81	957
78	81	947
79	81	937
80	81	927
81	81	917
82	82	908
83	82	898
84	82	888
85	82	879
86	82	869
87	83	861
88	83	853
89	83	845
90	83	837
91	84	829
92	84	822
93	84	814
94	84	807
95	85	800
96	85	794
97	85	787
98	85	780
99	86	774
100	86	767
101	86	760
102	86	754
103	86	748
104	87	742
105	87	736
106	87	730
107	87	725
108	88	719
109	88	714
110	88	709
111	88	703
112	88	698
113	89	693
114	89	688
115	89	682
116	89	678
117	90	673
118	90	668
119	90	663
120	90	659
121	91	655
122	91	649
123	91	645
124	91	640
125	91	636
126	92	632
127	92	627
128	92	623
129	92	619
130	92	615
131	93	611
132	93	607
133	93	604
134	93	601
135	94	597
136	94	594
137	94	590
138	94	586
139	94	583
140	95	579
141	95	576
142	95	573
143	95	570
144	96	567
145	96	564
146	96	560
147	96	557
148	97	554
149	97	551
150	97	548
151	97	546
152	98	543
153	98	540
154	98	537
155	98	534
156	98	531
157	99	528
158	99	525
159	99	523
160	99	520
161	100	517
162	100	515
163	100	512
164	100	509
165	101	507
166	101	505
167	101	502
168	101	500
169	101	497
170	102	495
171	102	493
172	102	490
173	102	488
174	103	486
175	103	484
176	103	481
177	103	480
178	104	477
179	104	475
180	104	472
181	104	470
182	105	468
183	105	466
184	105	464
185	105	462
186	106	460
187	106	458
188	106	456
189	106	454
190	106	452
191	107	451
192	107	449
193	107	447
194	107	445
195	108	443
196	108	441
197	108	439
198	108	438
199	109	436
200	109	434
201	109	432
202	109	431
203	110	429
204	110	427
205	110	426
206	110	424
207	111	422
208	111	421
209	111	419
210	111	418
211	112	416
212	112	415
213	112	413
214	112	411
215	113	410
216	113	408
217	113	407
218	113	405
219	113	403
220	114	402
221	114	400
222	114	399
223	114	397
224	115	396
225	115	395
226	115	393
227	115	392
228	116	390
229	116	389
230	116	387
231	116	386
232	116	385
233	117	383
234	117	382
235	117	380
236	117	379
237	118	378
238	118	376
239	118	375
240	118	374
241	119	373
242	119	371
243	119	370
244	119	369
245	120	367
246	120	366
247	120	365
248	120	364
249	120	362
250	121	361
251	121	360
252	121	359
253	121	358
254	122	356
255	122	355
256	122	354
257	122	353
258	123	352
259	123	350
260	123	349
261	123	348
262	123	347
263	124	346
264	124	345
265	124	344
266	124	343
267	125	341
268	125	340
269	125	339
270	125	338
271	126	337
272	126	336
273	126	335
274	126	334
275	127	333
276	127	332
277	127	331
278	127	330
